Group,Matrix ID,Name,Kind,Type,Author,Num Rows,Num Cols,Nonzeros,Pattern Entries,Num Explicit Zeros,Symmetric,Structural Rank,Structural Rank Full,Rank,Full Numerical Rank?,sprank(A)-rank(A),Null Space Dimension,Num Dmperm Blocks,Strongly Connect Components,Pattern Symmetry,Numeric Symmetry,Positive Definite,Cholesky Candidate,Matrix Norm,Minimum Singular Value,Condition Number,RCM Bandwidth,Skew-Symmetric Frobenius Norm,Directional Mean Bias,Signed Frobenius Ratio,Gershgorin Discs,Diagonal Dominance Min Ratio,Diagonal Dominance Mean Ratio,Diagonal Dominance Max Ratio,Strictly Diagonally Dominant Row Fraction,Fiedler Value,Brauer Pair Count,Brauer Max Product,Brauer Mean Product,Brauer Min Product,Brauer Max Center Distance,Brauer Mean Center Distance,Brauer Unions
HB,1,1138_bus,Power Network Problem,real,D. Tylavsky,1138,1138,4054,4054,0,1,1138,1,1138.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,30148.79,0.00351686,8572646.0,135.0,0.0,2.566237378969017,1.0617372518506647,"[[-0.005,40366.7232]]",0.9999994325700623,1.086994740864879,99.99998643864865,0.351493848857645,0.098622347,646953.0,403961753.5639722,717120.1821794135,0.0,20182.7018021,1491.1763342653578,"[[-0.0048,40197.9519]]"
HB,2,494_bus,Power Network Problem,real,D. Tylavsky,494,494,1666,1666,0,1,494,1,494.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,30005.14,0.01242238,2415411.0,79.0,0.0,2.396013847675931,1.0792046033297331,"[[-0.0032,40015.4225]]",0.9999995045062678,1.2004048351697496,99.99998198907589,0.2975708502024291,0.079148789,121771.0,204473028.20219317,185958.03732646865,0.0,20007.5396423,804.5260069051433,"[[-0.0032,30227.4211]]"
HB,3,662_bus,Power Network Problem,real,D. Tylavsky,662,662,2474,2474,0,1,662,1,662.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,4008.114,0.005047169,794131.1,112.0,0.0,2.789966113042748,1.2898122637369798,"[[-0.0002,4032.258]]",0.9999994843040857,1.1495468414646473,100.00000000000077,0.3716012084592145,0.1623680950334317,218791.0,2718135.5614718175,12012.474881357564,0.0,2014.4697999999999,149.4726733322623,"[[-0.0002,3364.3242]]"
HB,4,685_bus,Power Network Problem,real,D. Tylavsky,685,685,3249,3249,0,1,685,1,685.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,26186.49,0.06188821,423125.6,82.0,0.0,4.265282537754345,1.6404246839487229,"[[-0.0006,20563.6382],[25923.645,26447.355]]",0.9999994036120828,1.1445255799212164,100.00000763781537,0.5080291970802919,0.3018461561438261,234270.0,105336482.02718054,71488.82372514074,0.0,26183.554497,398.56674034619033,"[[-0.0005,20526.7478],[26014.3678,26353.026]]"
HB,6,arc130,Materials Problem,real,A. Curtis,130,130,1037,1282,245,0,130,1,130.0,1.0,0.0,0.0,55.0,55,75.9,0.0,0,0,239734.8,3.959802e-06,60542120000.0,124.0,345622.09585524607,-4.61e-05,-29351.48519,"[[-1084595.375,1084597.375]]",9.220019751587313e-07,415355864849605.2,4635354258735106.0,0.9153846153846154,-118557.7824,8385.0,1142545986486.246,1056188705.3887466,-6.581164284477383e-16,1.5725136995315556,0.14720375015615583,"[[-1068898.4277,1068900.4277]]"
HB,8,ash292,Least Squares Problem,binary,V. Askenazi,292,292,2208,2208,0,1,292,1,289.0,0.0,3.0,3.0,1.0,1,100.0,100.0,0,1,9.152221,7.717297e-18,1.185936e+18,34.0,0.0,inf,inf,"[[-12.0,14.0]]",0.07692307692307693,0.16468937265170142,0.3333333333333333,0.0,-2.420861887,42486.0,156.0,42.75031775172998,6.0,0.0,0.0,"[[-11.49,13.49]]"
HB,13,bcspwr01,Power Network Problem,binary,"B. Dembart, J. Lewis",39,39,131,131,0,1,39,1,39.0,1.0,0.0,0.0,1.0,1,100.0,100.0,0,1,3.836363,0.07307345,52.5001,8.0,0.0,inf,inf,"[[-4.0,6.0]]",0.2,0.5286324786324786,1.0,0.0,0.1322203486339616,741.0,20.0,5.255060728744939,0.0,0.0,0.0,"[[-3.4721,5.4721]]"
HB,14,bcspwr02,Power Network Problem,binary,"B. Dembart, J. Lewis",49,49,167,167,0,1,49,1,48.0,0.0,1.0,1.0,1.0,1,100.0,100.0,0,1,4.308565,1.32075e-16,3.262212e+16,13.0,0.0,inf,inf,"[[-5.0,7.0]]",0.16666666666666666,0.5816326530612245,1.0,0.0,0.075960121,1176.0,30.0,5.485544217687075,0.0,0.0,0.0,"[[-4.4772,6.4772]]"
HB,15,bcspwr03,Power Network Problem,binary,"B. Dembart, J. Lewis",118,118,476,476,0,1,118,1,118.0,1.0,0.0,0.0,1.0,1,100.0,100.0,0,1,5.105303,0.0101817,501.4196,23.0,0.0,inf,inf,"[[-8.0,10.0]]",0.1111111111111111,0.413603040086091,1.0,0.0,0.042596532,6903.0,72.0,9.010140518615096,0.0,0.0,0.0,"[[-7.4853,9.4853]]"
HB,16,bcspwr04,Power Network Problem,binary,"B. Dembart, J. Lewis",274,274,1612,1612,0,1,274,1,262.0,0.0,12.0,12.0,1.0,1,100.0,100.0,0,1,10.11456,9.119241e-18,1.109145e+18,80.0,0.0,inf,inf,"[[-14.0,16.0]]",0.06666666666666667,0.37763271805242604,1.0,0.0,-1.64e-17,37401.0,210.0,23.56934306569343,0.0,0.0,0.0,"[[-13.4914,15.4914]]"
HB,17,bcspwr05,Power Network Problem,binary,"B. Dembart, J. Lewis",443,443,1623,1623,0,1,443,1,437.0,0.0,6.0,6.0,1.0,1,100.0,100.0,0,1,5.178281,4.7241030000000004e-17,1.09614e+17,74.0,0.0,inf,inf,"[[-8.0,10.0]]",0.1111111111111111,0.5163692715611451,1.0,0.0,2.818925648462313e-18,97903.0,72.0,7.052153662298397,0.0,0.0,0.0,"[[-7.4853,9.4853]]"
HB,18,bcspwr06,Power Network Problem,binary,"B. Dembart, J. Lewis",1454,1454,5300,5300,0,1,1454,1,1446.0,0.0,8.0,8.0,1.0,1,100.0,100.0,0,1,5.619492,2.070951e-18,2.713483e+18,110.0,0.0,inf,inf,"[[-11.0,13.0]]",0.08333333333333333,0.5140816198931742,1.0,0.0,-1.33e-17,1056331.0,132.0,6.983748465206455,0.0,0.0,0.0,"[[-10.4891,12.4891]]"
HB,19,bcspwr07,Power Network Problem,binary,"B. Dembart, J. Lewis",1612,1612,5824,5824,0,1,1612,1,1601.0,0.0,11.0,11.0,1.0,1,100.0,100.0,0,1,5.665168,6.582483e-18,8.60643e+17,118.0,0.0,inf,inf,"[[-11.0,13.0]]",0.08333333333333333,0.529929143437208,1.0,0.0,-1.69e-18,1298466.0,132.0,6.815566214286704,0.0,0.0,0.0,"[[-10.4891,12.4891]]"
HB,20,bcspwr08,Power Network Problem,binary,"B. Dembart, J. Lewis",1624,1624,6050,6050,0,1,1624,1,1613.0,0.0,11.0,11.0,1.0,1,100.0,100.0,0,1,5.785906,3.447318e-17,1.678379e+17,153.0,0.0,inf,inf,"[[-12.0,14.0]]",0.07692307692307693,0.5143390561955833,1.0,0.0,2.72405795836983e-18,1317876.0,156.0,7.414770433637155,0.0,0.0,0.0,"[[-11.49,13.49]]"
HB,21,bcspwr09,Power Network Problem,binary,"B. Dembart, J. Lewis",1723,1723,6511,6511,0,1,1723,1,1712.0,0.0,11.0,11.0,1.0,1,100.0,100.0,0,1,5.971265,1.36759e-16,4.366269e+16,150.0,0.0,inf,inf,"[[-13.0,15.0]]",0.07142857142857142,0.5059743716011853,1.0,0.0,2.72405795836983e-18,1483503.0,182.0,7.709531426630077,0.0,0.0,0.0,"[[-12.4907,14.4907]]"
HB,22,bcspwr10,Power Network Problem,binary,"B. Dembart, J. Lewis",5300,5300,21842,21842,0,1,5300,1,5276.0,0.0,24.0,24.0,1.0,1,100.0,100.0,0,1,6.815356,4.32344e-17,1.576373e+17,315.0,0.0,inf,inf,"[[-12.0,14.0]]",0.076923077,0.3863983338464471,1.0,0.0,-3.56e-17,,,,,,,
HB,23,bcsstk01,Structural Problem,real,J. Lewis,48,48,400,400,0,1,48,1,48.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,3015179000.0,3417.268,882336.3,27.0,0.0,47.84961492996343,30.266720074054177,"[[-20744096.5528,24278918.0417],[248499999.9997,3570948074.6974]]",0.008821559633274873,1.185585017065851,4.7857142857144215,0.5,8970.009818,1128.0,1.0556448148036556e+18,1.031942442292071e+17,24006346539876.31,2472326422.3503704,829777185.288898,"[[-18926138.7261,24105046.3841],[249133868.6151,3354730401.3909]]"
HB,24,bcsstk02,Structural Problem,real,J. Lewis,66,66,4356,4356,0,1,66,1,66.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,18225.75,4.214074,4324.971,65.0,0.0,1.189328998049861,1.6287777822743432,"[[-7992.9169,31515.5306]]",0.38970524985014154,0.5452970458485698,1.251130462654817,0.030303030303030304,4.300382397,2145.0,390189609.5095239,67778636.64447619,2179.362323943732,10414.18086537,3031.465308382335,"[[-7991.9109,31514.5245]]"
HB,25,bcsstk03,Structural Problem,real,J. Lewis,112,112,640,640,0,1,112,1,112.0,1.0,0.0,0.0,2.0,2,100.0,100.0,1,1,199735000000.0,29410.2,6791333.0,3.0,0.0,3.9250922495942135,5.429946892146303,"[[-9014678745.6433,13902228751.029],[127810115255.96,211874080895.923]]",0.012575735908666986,1.414704606993226,4.241481947829792,0.5,29532.998458018392,6216.0,1.6496658899805814e+21,7.210408068833848e+18,79950423694284.72,171257889245.05637,14497966591.743841,"[[-9014678745.6433,13902228751.029],[127810115255.96,211874080895.923]]"
HB,26,bcsstk04,Structural Problem,real,J. Lewis,132,132,3648,3648,0,1,132,1,132.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,9660618.0,4.214073,2292466.0,65.0,0.0,7.468407218075905,9.616219777547434,"[[-1082631.0647,13686490.5521]]",0.08799112417541777,0.7871923217772072,2.3521676405525476,0.3484848484848485,4.300381131117138,8646.0,31859063339188.777,2653487413696.85,52212139.72082385,8040759.37585483,2875181.9236768484,"[[-1035135.0079,13686490.5521]]"
HB,27,bcsstk05,Structural Problem,real,J. Lewis,153,153,2423,2423,0,1,153,1,153.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,6197287.0,433.949,14281.14,24.0,0.0,1.739241920871451,1.5818276257639312,"[[-1986915.7566,8585071.2124]]",0.15406773802101073,0.49034075987048553,1.121892888269547,0.026143790849673203,443.0684544980652,11628.0,27941727118307.543,3053254611918.9736,16324917572.902332,3278002.4287841003,1110567.381603922,"[[-1986915.7566,8585071.2124]]"
HB,28,bcsstk06,Structural Problem,real,J. Lewis,420,420,7860,7860,0,1,420,1,420.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,3486950000.0,460.6246,7570047.0,49.0,0.0,46.71448238432492,74.43947622,"[[-984261313.5743,4295243407.4261]]",0.01891049618098725,0.7876832917208064,2.3146216895689116,0.2857142857142857,1349.9650654397274,87990.0,3.6960544873973135e+18,2.3317201356136986e+17,0.0,2420772783.9270573,700220701.8269906,"[[-984261313.5743,4295243407.426]]"
HB,29,bcsstk07,Duplicate Structural Problem,real,J. Lewis,420,420,7860,7860,0,1,420,1,420.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,3486950000.0,460.6246,7570047.0,49.0,0.0,46.71448238432492,74.43947622,"[[-984261313.5743,4295243407.4261]]",0.01891049618098725,0.7876832917208064,2.3146216895689116,0.2857142857142857,1349.965065439715,87990.0,3.6960544873973135e+18,2.3317201356136986e+17,0.0,2420772783.9270573,700220701.8269906,"[[-984261313.5743,4295243407.426]]"
HB,30,bcsstk08,Structural Problem,real,J. Lewis,1074,1074,12960,12960,0,1,1074,1,1074.0,1.0,0.0,0.0,4.0,4,100.0,100.0,1,1,76570340000.0,2946.411,25987670.0,640.0,0.0,2.403598548158576,4.516005485779922,"[[-477514582.1448,58740621885.5381],[62575790921.4925,89548836809.7075]]",0.006646097110001216,1.3983608898995277,243.09699657079415,0.17783985102420857,3494.1081381392232,576201.0,2.574558096287084e+20,2.7222333664412492e+16,0.0,76062308183.52054,684105913.3769238,"[[-470235036.6497,49254536971.253],[66458540652.947,82123925464.2995]]"
HB,31,bcsstk09,Structural Problem,real,J. Lewis,1083,1083,18437,18437,0,1,1083,1,1083.0,1.0,0.0,0.0,1.0,1,100.0,100.0,1,1,67603040.0,7102.229,9518.566,113.0,0.0,-0.936703003,2.2156895072552425,"[[-22444170.1267,101268095.6121]]",0.3368983957223138,0.4822007220807206,1.4106306065084415,0.003693444,27341.55790259484,,,,,,,
HB,32,bcsstk10,Structural Problem,real,J. Lewis,1086,1086,22070,22070,0,1,1086,1,1086.0,1.0,0.0,0.0,2.0,2,100.0,100.0,1,1,44743060.0,85.35086,524225.0,34.0,0.0,1.3268887099573925,1.5571879613348694,"[[-18465378.0581,52137802.5282]]",0.2164847595515855,0.4012823398885174,1.066255924121188,0.001841621,85.48309432154949,,,,,,,
